GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
playlist-backend,com.mpp.backend.service,PlaylistService,6,542,3,13,0,117,3,32,0,27
playlist-backend,com.mpp.backend.service,FakePlaylistGeneratorService,312,0,12,0,71,0,20,0,14,0
playlist-backend,com.mpp.backend.controller,PlaylistController,8,99,0,0,1,23,1,7,1,7
playlist-backend,com.mpp.backend.controller,StatisticsController,0,16,0,0,0,5,0,2,0,2
playlist-backend,com.mpp.backend.controller,GeneratorController,20,0,0,0,6,0,4,0,4,0
playlist-backend,com.mpp.backend.graphql,PlaylistGraphqlController,258,0,16,0,56,0,27,0,19,0
playlist-backend,com.mpp.backend.graphql,GraphqlExceptionResolver,129,0,12,0,27,0,14,0,8,0
playlist-backend,com.mpp.backend.mapper,PlaylistMapper,12,253,6,4,2,75,5,16,0,16
playlist-backend,com.mpp.backend,BackendApplication,5,3,0,0,2,1,1,1,1,1
playlist-backend,com.mpp.backend.dto,SongRequest,0,22,0,0,0,3,0,2,0,2
playlist-backend,com.mpp.backend.dto,SongResponse,0,15,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.dto,PageResponse,0,18,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.dto,StatisticsResponse,0,24,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.dto,GeneratorStatusResponse,12,0,0,0,1,0,1,0,1,0
playlist-backend,com.mpp.backend.dto,GenreCountResponse,0,9,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.dto,PlaylistRequest,0,21,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.dto,SongStatisticsResponse,18,0,0,0,1,0,1,0,1,0
playlist-backend,com.mpp.backend.dto,PlaylistResponse,0,36,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.dto,PlaylistSummaryResponse,0,18,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.dto,PlaylistHistoryEntryResponse,0,18,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.dto,GeneratorBatchEventResponse,21,0,0,0,1,0,1,0,1,0
playlist-backend,com.mpp.backend.repository,PlaylistStore,0,22,0,0,0,8,0,4,0,4
playlist-backend,com.mpp.backend.repository,InMemoryPlaylistRepository,0,47,0,0,0,9,0,6,0,6
playlist-backend,com.mpp.backend.model,PlaylistHistoryEntry,0,18,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.model,Song,0,15,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.model,PlaylistStatistics.GenreCount,0,9,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.model,Playlist,0,30,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.model,PlaylistStatistics.PlaylistSummary,0,18,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.model,PlaylistStatistics,0,24,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.error,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
playlist-backend,com.mpp.backend.error,RestExceptionHandler,10,70,1,1,2,19,2,7,1,7
playlist-backend,com.mpp.backend.error,ApiErrorResponse,0,18,0,0,0,1,0,1,0,1
playlist-backend,com.mpp.backend.config,WebSocketConfig,43,0,0,0,7,0,3,0,3,0
playlist-backend,com.mpp.backend.config,WebConfig,0,86,0,0,0,10,0,2,0,2
playlist-backend,com.mpp.backend.config,SampleDataInitializer,97,0,2,0,16,0,3,0,2,0
